key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
31,í€äóÁcole Polytechnique Fí€Œ©dí€Œ©rale de Lausanne,í€äóÁcole Polytechnique Fí€Œ©dí€Œ©rale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,65.4,76.1,31,0,0,0,0,0,í€äóÁcole Polytechnique Fí€Œ©dí€Œ©rale de Lausanne,76.1,61.3,67.5,94.6,98.6,65.4,0,í€äóÁcole Polytechnique Fí€Œ©dí€Œ©rale de Lausanne
32,University of Washington,University of Washington,United States of America,67.1,51.2,70,98.6,43.1,75.6,32,0,0,0,0,0,University of Washington,75.6,67.1,70,98.6,51.2,43.1,0,University of Washington
33,University of Melbourne,University of Melbourne,Australia,62,87.1,75.5,86.6,64.6,75.4,33,0,0,0,0,0,University of Melbourne,75.4,62,75.5,86.6,87.1,64.6,0,University of Melbourne
34,University of British Columbia,University of British Columbia,Canada,60.2,90.5,73.2,91.5,42.6,75.3,34,0,0,0,0,0,University of British Columbia,75.3,60.2,73.2,91.5,90.5,42.6,0,University of British Columbia
35,KU Leuven,KU Leuven,Belgium,59.9,68.6,76.9,87.3,100,74.8,35,0,0,0,0,0,KU Leuven,74.8,59.9,76.9,87.3,68.6,100,0,KU Leuven
36,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,United States of America,64.5,45.8,81.2,86.8,52.8,74.5,36,0,0,0,0,0,University of Illinois at Urbana-Champaign,74.5,64.5,81.2,86.8,45.8,52.8,0,University of Illinois at Urbana-Champaign
37,Heidelberg University,Heidelberg University,Germany,68.8,62.8,69.6,88.2,68.2,74.4,37,0,0,0,0,0,Heidelberg University,74.4,68.8,69.6,88.2,62.8,68.2,0,Heidelberg University
38,McGill University,McGill University,Canada,66.1,85.5,72.1,78.9,40.3,72.6,38,0,0,0,0,0,McGill University,72.6,66.1,72.1,78.9,85.5,40.3,0,McGill University
39,"University of California, San Diego","University of California, San Diego",United States of America,56.9,42.9,69.8,98.7,56.7,72.2,39,0,0,0,0,0,"University of California, San Diego",72.2,56.9,69.8,98.7,42.9,56.7,0,"University of California, San Diego"
39,"University of California, Santa Barbara","University of California, Santa Barbara",United States of America,52.6,61.5,66,99.2,90.4,72.2,39,0,0,0,0,0,"University of California, Santa Barbara",72.2,52.6,66,99.2,61.5,90.4,0,"University of California, Santa Barbara"
41,Georgia Institute of Technology,Georgia Institute of Technology,United States of America,57.8,71.5,72.7,86,73.7,72.1,41,0,0,0,0,0,Georgia Institute of Technology,72.1,57.8,72.7,86,71.5,73.7,0,Georgia Institute of Technology
42,Peking University,Peking University,China,77.8,49.2,72.4,69.1,100,72,42,0,0,0,0,0,Peking University,72,77.8,72.4,69.1,49.2,100,0,Peking University
43,University of Tokyo,University of Tokyo,Japan,81.4,30.3,83,60.9,50.8,71.1,43,0,0,0,0,0,University of Tokyo,71.1,81.4,83,60.9,30.3,50.8,0,University of Tokyo
44,"University of California, Davis","University of California, Davis",United States of America,60.1,58.4,72.7,84.3,57.3,71,44,0,0,0,0,0,"University of California, Davis",71,60.1,72.7,84.3,58.4,57.3,0,"University of California, Davis"
44,University of Hong Kong,University of Hong Kong,Hong Kong,64.6,99.5,72.8,70.1,53.7,71,44,0,0,0,0,0,University of Hong Kong,71,64.6,72.8,70.1,99.5,53.7,0,University of Hong Kong
46,University of Texas at Austin,University of Texas at Austin,United States of America,59.3,31.7,69.7,92.2,63.1,70.3,46,0,0,0,0,0,University of Texas at Austin,70.3,59.3,69.7,92.2,31.7,63.1,0,University of Texas at Austin
47,Tsinghua University,Tsinghua University,China,73.3,39.5,83,58.8,100,70,47,0,0,0,0,0,Tsinghua University,70,73.3,83,58.8,39.5,100,0,Tsinghua University
47,Wageningen University and Research Center,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,100,70,47,0,0,0,0,0,Wageningen University and Research Center,70,52.6,66.9,87.8,70.3,100,0,Wageningen University and Research Center
49,Humboldt University of Berlin,Humboldt University of Berlin,Germany,63.7,62.6,77,73.6,36.1,69.9,49,0,0,0,0,0,Humboldt University of Berlin,69.9,63.7,77,73.6,62.6,36.1,0,Humboldt University of Berlin
50,University of Wisconsin-Madison,University of Wisconsin-Madison,United States of America,65.1,33,68.2,86.6,48.5,69.7,50,0,0,0,0,0,University of Wisconsin-Madison,69.7,65.1,68.2,86.6,33,48.5,0,University of Wisconsin-Madison
51,Brown University,Brown University,United States of America,62.8,57.8,55.7,96.4,31.4,69.6,51,0,0,0,0,0,Brown University,69.6,62.8,55.7,96.4,57.8,31.4,0,Brown University
52,Australian National University,Australian National University,Australia,54.7,93.3,77.3,72.3,48,69.5,52,0,0,0,0,0,Australian National University,69.5,54.7,77.3,72.3,93.3,48,0,Australian National University
53,Technical University of Munich,Technical University of Munich,Germany,61,63.8,66,80.1,99.2,69.4,53,0,0,0,0,0,Technical University of Munich,69.4,61,66,80.1,63.8,99.2,0,Technical University of Munich
54,í€äóÁcole Normale Supí€Œ©rieure,í€äóÁcole Normale Supí€Œ©rieure,France,70.6,85.5,47.7,87.1,37.1,69,54,0,0,0,0,0,í€äóÁcole Normale Supí€Œ©rieure,69,70.6,47.7,87.1,85.5,37.1,0,í€äóÁcole Normale Supí€Œ©rieure
55,Nanyang Technological University,Nanyang Technological University,Singapore,48.4,94.6,61.3,85.6,99.9,68.2,55,0,0,0,0,0,Nanyang Technological University,68.2,48.4,61.3,85.6,94.6,99.9,0,Nanyang Technological University
56,University of Manchester,University of Manchester,United Kingdom,58.4,87,66,77.3,42,68.1,56,0,0,0,0,0,University of Manchester,68.1,58.4,66,77.3,87,42,0,University of Manchester
56,University of Sydney,University of Sydney,Australia,54.3,84.4,68.1,77.5,72.4,68.1,56,0,0,0,0,0,University of Sydney,68.1,54.3,68.1,77.5,84.4,72.4,0,University of Sydney
58,University of Amsterdam,University of Amsterdam,Netherlands,52.2,66.5,64.7,87.4,62.8,67.8,58,0,0,0,0,0,University of Amsterdam,67.8,52.2,64.7,87.4,66.5,62.8,0,University of Amsterdam
59,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong,49.4,80.5,66.1,82.6,68.1,67.2,59,0,0,0,0,0,Hong Kong University of Science and Technology,67.2,49.4,66.1,82.6,80.5,68.1,0,Hong Kong University of Science and Technology
60,The University of Queensland,The University of Queensland,Australia,49.2,89.3,62.8,82.4,76.7,67,60,0,0,0,0,0,The University of Queensland,67,49.2,62.8,82.4,89.3,76.7,0,The University of Queensland
