key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
127,Tufts University,Tufts University,United States of America,45.2,49.4,33.3,90.1,60.7,55.8,127,0,0,0,0,0,Tufts University,55.8,45.2,33.3,90.1,49.4,60.7,0,Tufts University
129,"Royal Holloway, University of London","Royal Holloway, University of London",United Kingdom,35.1,92.7,33.2,91.2,34.4,55.7,129,0,0,0,0,0,"Royal Holloway, University of London",55.7,35.1,33.2,91.2,92.7,34.4,0,"Royal Holloway, University of London"
130,Lancaster University,Lancaster University,United Kingdom,34,87,41.4,85.3,33.6,55.6,130,0,0,0,0,0,Lancaster University,55.6,34,41.4,85.3,87,33.6,0,Lancaster University
131,University of Geneva,University of Geneva,Switzerland,34.9,98.5,40.5,78.5,72.4,55.4,131,0,0,0,0,0,University of Geneva,55.4,34.9,40.5,78.5,98.5,72.4,0,University of Geneva
131,University of York,University of York,United Kingdom,41.9,83.5,46.3,73.1,31.1,55.4,131,0,0,0,0,0,University of York,55.4,41.9,46.3,73.1,83.5,31.1,0,University of York
133,Case Western Reserve University,Case Western Reserve University,United States of America,46.1,40.5,33.2,92,34.1,55.3,133,0,0,0,0,0,Case Western Reserve University,55.3,46.1,33.2,92,40.5,34.1,0,Case Western Reserve University
133,University of Leeds,University of Leeds,United Kingdom,43.7,77.4,39,79.2,36.7,55.3,133,0,0,0,0,0,University of Leeds,55.3,43.7,39,79.2,77.4,36.7,0,University of Leeds
135,University of Oslo,University of Oslo,Norway,43.3,68.2,44.7,75.5,38.3,55.1,135,0,0,0,0,0,University of Oslo,55.1,43.3,44.7,75.5,68.2,38.3,0,University of Oslo
136,Stockholm University,Stockholm University,Sweden,34.1,48.5,51.2,82.5,31.1,54.8,136,0,0,0,0,0,Stockholm University,54.8,34.1,51.2,82.5,48.5,31.1,0,Stockholm University
137,University of Alberta,University of Alberta,Canada,46.4,80.7,48.1,63.6,47.4,54.7,137,0,0,0,0,0,University of Alberta,54.7,46.4,48.1,63.6,80.7,47.4,0,University of Alberta
138,Chinese University of Hong Kong,Chinese University of Hong Kong,Hong Kong,41.5,81.1,48.5,68.4,37.5,54.5,138,0,0,0,0,0,Chinese University of Hong Kong,54.5,41.5,48.5,68.4,81.1,37.5,0,Chinese University of Hong Kong
138,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Germany,37.7,56.7,47.5,73.8,99.5,54.5,138,0,0,0,0,0,Karlsruhe Institute of Technology,54.5,37.7,47.5,73.8,56.7,99.5,0,Karlsruhe Institute of Technology
140,University of Sussex,University of Sussex,United Kingdom,33.4,88.3,37.2,86.1,30.6,54.4,140,0,0,0,0,0,University of Sussex,54.4,33.4,37.2,86.1,88.3,30.6,0,University of Sussex
141,University of Massachusetts,University of Massachusetts,United States of America,40.2,48.9,36.3,88.1,52.2,54.3,141,0,0,0,0,0,University of Massachusetts,54.3,40.2,36.3,88.1,48.9,52.2,0,University of Massachusetts
142,University of Vienna,University of Vienna,Austria,40.8,92.6,50.5,63.6,30.2,54.2,142,0,0,0,0,0,University of Vienna,54.2,40.8,50.5,63.6,92.6,30.2,0,University of Vienna
143,University of Nottingham,University of Nottingham,United Kingdom,40.3,80.6,39,77.5,39.8,54.1,143,0,0,0,0,0,University of Nottingham,54.1,40.3,39,77.5,80.6,39.8,0,University of Nottingham
144,"University of California, Santa Cruz","University of California, Santa Cruz",United States of America,31.1,45.6,34.2,99.9,36.1,53.9,144,0,0,0,0,0,"University of California, Santa Cruz",53.9,31.1,34.2,99.9,45.6,36.1,0,"University of California, Santa Cruz"
144,University of Lausanne,University of Lausanne,Switzerland,30.9,89.2,45.6,76.2,56,53.9,144,0,0,0,0,0,University of Lausanne,53.9,30.9,45.6,76.2,89.2,56,0,University of Lausanne
146,Autonomous University of Barcelona,Autonomous University of Barcelona,Spain,40.3,50.3,40,83.8,34.9,53.8,146,0,0,0,0,0,Autonomous University of Barcelona,53.8,40.3,40,83.8,50.3,34.9,0,Autonomous University of Barcelona
147,University of Virginia,University of Virginia,United States of America,38.8,43.4,37.5,87.3,37.9,53.3,147,0,0,0,0,0,University of Virginia,53.3,38.8,37.5,87.3,43.4,37.9,0,University of Virginia
148,Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),South Korea,43.3,33.9,40.5,75.9,100,53,148,0,0,0,0,0,Korea Advanced Institute of Science and Technology (KAIST),53,43.3,40.5,75.9,33.9,100,0,Korea Advanced Institute of Science and Technology (KAIST)
149,University of Adelaide,University of Adelaide,Australia,32.8,85.1,43.2,72.4,79.3,52.9,149,0,0,0,0,0,University of Adelaide,52.9,32.8,43.2,72.4,85.1,79.3,0,University of Adelaide
149,University of East Anglia,University of East Anglia,United Kingdom,31.9,83.5,28.7,92.7,28.5,52.9,149,0,0,0,0,0,University of East Anglia,52.9,31.9,28.7,92.7,83.5,28.5,0,University of East Anglia
149,University of Twente,University of Twente,Netherlands,34.1,80.1,45.6,68.8,91.2,52.9,149,0,0,0,0,0,University of Twente,52.9,34.1,45.6,68.8,80.1,91.2,0,University of Twente
153,Sungkyunkwan University (SKKU),Sungkyunkwan University (SKKU),South Korea,51.4,36.7,53.5,53.8,97.5,52.8,153,0,0,0,0,0,Sungkyunkwan University (SKKU),52.8,51.4,53.5,53.8,36.7,97.5,0,Sungkyunkwan University (SKKU)
154,VU University Amsterdam,VU University Amsterdam,Netherlands,28.4,54.9,37.1,90.7,60.1,52.5,154,0,0,0,0,0,VU University Amsterdam,52.5,28.4,37.1,90.7,54.9,60.1,0,VU University Amsterdam
155,KTH Royal Institute of Technology,KTH Royal Institute of Technology,Sweden,39,84.4,44.3,63.9,78.1,52.4,155,0,0,0,0,0,KTH Royal Institute of Technology,52.4,39,44.3,63.9,84.4,78.1,0,KTH Royal Institute of Technology
156,University of Cologne,University of Cologne,Germany,42.2,53.1,38,75,68.5,52.3,156,0,0,0,0,0,University of Cologne,52.3,42.2,38,75,53.1,68.5,0,University of Cologne
157,University of Liverpool,University of Liverpool,United Kingdom,32.8,85.4,30.9,85.9,36.6,52.2,157,0,0,0,0,0,University of Liverpool,52.2,32.8,30.9,85.9,85.4,36.6,0,University of Liverpool
158,TU Dresden,TU Dresden,Germany,41.4,47.7,45.8,66.1,99.7,52.1,158,0,0,0,0,0,TU Dresden,52.1,41.4,45.8,66.1,47.7,99.7,0,TU Dresden
158,University of Rochester,University of Rochester,United States of America,39.7,55.8,27.9,89,37,52.1,158,0,0,0,0,0,University of Rochester,52.1,39.7,27.9,89,55.8,37,0,University of Rochester
160,Trinity College Dublin,Trinity College Dublin,Republic of Ireland,41.9,90.5,30.8,75.8,28,52,160,0,0,0,0,0,Trinity College Dublin,52,41.9,30.8,75.8,90.5,28,0,Trinity College Dublin
161,Lomonosov Moscow State University,Lomonosov Moscow State University,Russian Federation,75.4,57.8,66.7,8.6,95.7,51.9,161,0,0,0,0,0,Lomonosov Moscow State University,51.9,75.4,66.7,8.6,57.8,95.7,0,Lomonosov Moscow State University
161,University of Miami,University of Miami,United States of America,41.7,64,22.3,90.1,35.5,51.9,161,0,0,0,0,0,University of Miami,51.9,41.7,22.3,90.1,64,35.5,0,University of Miami
163,University of Arizona,University of Arizona,United States of America,38.7,38.6,41.8,79.5,32.4,51.7,163,0,0,0,0,0,University of Arizona,51.7,38.7,41.8,79.5,38.6,32.4,0,University of Arizona
164,Pompeu Fabra University,Pompeu Fabra University,Spain,32.9,63.3,28,90.7,37.2,51.2,164,0,0,0,0,0,Pompeu Fabra University,51.2,32.9,28,90.7,63.3,37.2,0,Pompeu Fabra University
164,University of Reading,University of Reading,United Kingdom,39.3,85.1,37.3,69.9,34.2,51.2,164,0,0,0,0,0,University of Reading,51.2,39.3,37.3,69.9,85.1,34.2,0,University of Reading
164,Yeshiva University,Yeshiva University,United States of America,44.8,28.5,23.7,92.8,46.86,51.2,164,0,0,0,0,0,Yeshiva University,51.2,44.8,23.7,92.8,28.5,46.86,0,Yeshiva University
167,"University of California, Riverside","University of California, Riverside",United States of America,27.5,59.5,33.3,91.2,42.5,51.1,167,0,0,0,0,0,"University of California, Riverside",51.1,27.5,33.3,91.2,59.5,42.5,0,"University of California, Riverside"
167,University of Leicester,University of Leicester,United Kingdom,32.1,86.6,27.8,86,31.7,51.1,167,0,0,0,0,0,University of Leicester,51.1,32.1,27.8,86,86.6,31.7,0,University of Leicester
167,National Taiwan University,National Taiwan University,Taiwan,54.1,27.7,58,47.3,49.6,51.1,167,0,0,0,0,0,National Taiwan University,51.1,54.1,58,47.3,27.7,49.6,0,National Taiwan University
167,Technical University of Denmark,Technical University of Denmark,Denmark,37.3,85.1,29.9,77.8,50,51.1,167,0,0,0,0,0,Technical University of Denmark,51.1,37.3,29.9,77.8,85.1,50,0,Technical University of Denmark
167,Universití€Œ© Catholique de Louvain,Universití€Œ© Catholique de Louvain,Belgium,38.7,74.2,40.6,68.4,51,51.1,167,0,0,0,0,0,Universití€Œ© Catholique de Louvain,51.1,38.7,40.6,68.4,74.2,51,0,Universití€Œ© Catholique de Louvain
172,University of Aberdeen,University of Aberdeen,United Kingdom,29.7,91.4,31.4,82.6,43.1,51,172,0,0,0,0,0,University of Aberdeen,51,29.7,31.4,82.6,91.4,43.1,0,University of Aberdeen
172,University of Auckland,University of Auckland,New Zealand,31.4,90.5,39.5,69.8,78,51,172,0,0,0,0,0,University of Auckland,51,31.4,39.5,69.8,90.5,78,0,University of Auckland
174,University of Barcelona,University of Barcelona,Spain,38.5,49.2,37.4,78.9,31.1,50.9,174,0,0,0,0,0,University of Barcelona,50.9,38.5,37.4,78.9,49.2,31.1,0,University of Barcelona
175,University of Konstanz,University of Konstanz,Germany,38.5,58.3,46.7,61.9,92.4,50.8,175,0,0,0,0,0,University of Konstanz,50.8,38.5,46.7,61.9,58.3,92.4,0,University of Konstanz
176,Eindhoven University of Technology,Eindhoven University of Technology,Netherlands,34.3,71.3,41,70.7,57.3,50.6,176,0,0,0,0,0,Eindhoven University of Technology,50.6,34.3,41,70.7,71.3,57.3,0,Eindhoven University of Technology
176,University College Dublin,University College Dublin,Republic of Ireland,35,86.3,38.5,70.8,33.5,50.6,176,0,0,0,0,0,University College Dublin,50.6,35,38.5,70.8,86.3,33.5,0,University College Dublin
178,Hebrew University of Jerusalem,Hebrew University of Jerusalem,Israel,45.8,55.6,41.4,64.6,31.9,50.5,178,0,0,0,0,0,Hebrew University of Jerusalem,50.5,45.8,41.4,64.6,55.6,31.9,0,Hebrew University of Jerusalem
179,University of Waterloo,University of Waterloo,Canada,35.4,74.4,43.9,66.5,39.5,50.3,179,0,0,0,0,0,University of Waterloo,50.3,35.4,43.9,66.5,74.4,39.5,0,University of Waterloo
180,University of Gothenburg,University of Gothenburg,Sweden,28.5,58.3,39.8,81.8,30.3,50.2,180,0,0,0,0,0,University of Gothenburg,50.2,28.5,39.8,81.8,58.3,30.3,0,University of Gothenburg
180,Scuola Superiore Santí¢ä‰åä‹¢Anna,Scuola Superiore Santí¢ä‰åä‹¢Anna,Italy,42.5,45.2,23.2,84.5,71.2,50.2,180,0,0,0,0,0,Scuola Superiore Santí¢ä‰åä‹¢Anna,50.2,42.5,23.2,84.5,45.2,71.2,0,Scuola Superiore Santí¢ä‰åä‹¢Anna
182,University of Bergen,University of Bergen,Norway,32.5,70,31.5,82.4,36.2,50.1,182,0,0,0,0,0,University of Bergen,50.1,32.5,31.5,82.4,70,36.2,0,University of Bergen
182,Cardiff University,Cardiff University,United Kingdom,30.9,78.1,31.6,82,34.6,50.1,182,0,0,0,0,0,Cardiff University,50.1,30.9,31.6,82,78.1,34.6,0,Cardiff University
182,University of Utah,University of Utah,United States of America,35.6,30.1,35.3,83.7,57.4,50.1,182,0,0,0,0,0,University of Utah,50.1,35.6,35.3,83.7,30.1,57.4,0,University of Utah
185,Brandeis University,Brandeis University,United States of America,28.3,47,25.7,97.3,38.6,49.9,185,0,0,0,0,0,Brandeis University,49.9,28.3,25.7,97.3,47,38.6,0,Brandeis University
185,University of Dundee,University of Dundee,United Kingdom,25.6,78.5,26.9,90.2,49.5,49.9,185,0,0,0,0,0,University of Dundee,49.9,25.6,26.9,90.2,78.5,49.5,0,University of Dundee
185,University of Wí€Œ_rzburg,University of Wí€Œ_rzburg,Germany,34.6,50.9,35.8,79.1,47.9,49.9,185,0,0,0,0,0,University of Wí€Œ_rzburg,49.9,34.6,35.8,79.1,50.9,47.9,0,University of Wí€Œ_rzburg
188,Paris-Sud University,Paris-Sud University,France,38.7,64.2,29,79.8,28.8,49.8,188,0,0,0,0,0,Paris-Sud University,49.8,38.7,29,79.8,64.2,28.8,0,Paris-Sud University
189,Arizona State University,Arizona State University,United States of America,32.4,31.9,38.1,84.6,32,49.7,189,0,0,0,0,0,Arizona State University,49.7,32.4,38.1,84.6,31.9,32,0,Arizona State University
190,University of Antwerp,University of Antwerp,Belgium,31.6,64.8,40.8,71.7,60.3,49.6,190,0,0,0,0,0,University of Antwerp,49.6,31.6,40.8,71.7,64.8,60.3,0,University of Antwerp
190,Boston College,Boston College,United States of America,34.1,60,29.3,83.3,46.8,49.6,190,0,0,0,0,0,Boston College,49.6,34.1,29.3,83.3,60,46.8,0,Boston College
192,Ulm University,Ulm University,Germany,35.2,58.2,23.9,86.4,58.4,49.5,192,0,0,0,0,0,Ulm University,49.5,35.2,23.9,86.4,58.2,58.4,0,Ulm University
193,University of Luxembourg,University of Luxembourg,Luxembourg,25,99.8,26.7,84.8,38.1,49.4,193,0,0,0,0,0,University of Luxembourg,49.4,25,26.7,84.8,99.8,38.1,0,University of Luxembourg
193,Texas A&M University,Texas A&M University,United States of America,49.4,47.8,52.4,47.1,46.4,49.4,193,0,0,0,0,0,Texas A&M University,49.4,49.4,52.4,47.1,47.8,46.4,0,Texas A&M University
195,Charití€Œ© - Universití€Œ_tsmedizin Berlin,Charití€Œ© - Universití€Œ_tsmedizin Berlin,Germany,37.3,61.1,22.2,83.8,68.4,49.3,195,0,0,0,0,0,Charití€Œ© - Universití€Œ_tsmedizin Berlin,49.3,37.3,22.2,83.8,61.1,68.4,0,Charití€Œ© - Universití€Œ_tsmedizin Berlin
196,Newcastle University,Newcastle University,United Kingdom,30.9,84.3,27.5,81.5,34.7,49.2,196,0,0,0,0,0,Newcastle University,49.2,30.9,27.5,81.5,84.3,34.7,0,Newcastle University
196,"St Georgeí¢ä‰åä‹¢s, University of London","St Georgeí¢ä‰åä‹¢s, University of London",United Kingdom,25.6,69.5,18.1,100,37.7,49.2,196,0,0,0,0,0,"St Georgeí¢ä‰åä‹¢s, University of London",49.2,25.6,18.1,100,69.5,37.7,0,"St Georgeí¢ä‰åä‹¢s, University of London"
198,University of Trento,University of Trento,Italy,30.8,55.9,27.4,87.7,47.1,49.1,198,0,0,0,0,0,University of Trento,49.1,30.8,27.4,87.7,55.9,47.1,0,University of Trento
199,Paris Diderot University í¢ä‰åäóì Paris 7,Paris Diderot University í¢ä‰åäóì Paris 7,France,30.5,64.9,22.9,91,29,48.9,199,0,0,0,0,0,Paris Diderot University í¢ä‰åäóì Paris 7,48.9,30.5,22.9,91,64.9,29,0,Paris Diderot University í¢ä‰åäóì Paris 7
200,Queení¢ä‰åä‹¢s University Belfast,Queení¢ä‰åä‹¢s University Belfast,United Kingdom,34.1,93.4,33.3,68.9,35.7,48.8,200,0,0,0,0,0,Queení¢ä‰åä‹¢s University Belfast,48.8,34.1,33.3,68.9,93.4,35.7,0,Queení¢ä‰åä‹¢s University Belfast
